"Nr. ";"Sort ";"------ Name --";"------- Price"
"1  ";"Beer:       ";"Heineken ";"          4 Euro"
"2  ";"Beer:       ";"Amstel ";"            4 Euro"
"3  ";"Beer:       ";"Blue Moon ";"         4 Euro"
"4  ";"Soft Drink: ";"Lemonade ";"          4 Euro"
"5  ";"Soft Drink: ";"Coke ";"              5 Euro"
"6  ";"Soft Drink: ";"Tonic Water ";"       6 Euro"
"7  ";"Soft Drink: ";"Soda Water ";"        7 Euro"
"8  ";"Spirits:   ";"Jack Daniel Wiskey ";"20 Euro"
"9  ";"Spirits:   ";"Smirnoff Vodka ";"    30 Euro"
"10 ";"Spirits:   ";"Gordon's Gin ";"      25 Euro"
